"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Bifidobacterium_animalis","71.08696741854638","0.483938662","interacts with","Streptococcus_acidominimus (interacts with) Bifidobacterium_animalis","false","interacts with","Streptococcus_acidominimus (interacts with) Bifidobacterium_animalis"
"Enterorhabdus_caecimuris","10.214738855915323","0.639603174","interacts with","Streptococcus_acidominimus (interacts with) Enterorhabdus_caecimuris","false","interacts with","Streptococcus_acidominimus (interacts with) Enterorhabdus_caecimuris"
"Lactobacillus_murinus","14.02725520315653","0.73944127","interacts with","Streptococcus_acidominimus (interacts with) Lactobacillus_murinus","false","interacts with","Streptococcus_acidominimus (interacts with) Lactobacillus_murinus"
"Actinomyces_urogenitalis","37.13268591896875","-0.570485726","interacts with","Helicobacter_ganmani (interacts with) Actinomyces_urogenitalis","false","interacts with","Helicobacter_ganmani (interacts with) Actinomyces_urogenitalis"
"Bacteroides_stercorirosoris","26.44309912939944","0.404650836","interacts with","Helicobacter_ganmani (interacts with) Bacteroides_stercorirosoris","false","interacts with","Helicobacter_ganmani (interacts with) Bacteroides_stercorirosoris"
"Bacteroides_thetaiotaomicron","17.484135979259815","0.487165636","interacts with","Helicobacter_ganmani (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Helicobacter_ganmani (interacts with) Bacteroides_thetaiotaomicron"
"Bacteroides_vulgatus","45.52660039004574","-0.404226919","interacts with","Helicobacter_ganmani (interacts with) Bacteroides_vulgatus","false","interacts with","Helicobacter_ganmani (interacts with) Bacteroides_vulgatus"
"Firmicutes_bacterium_ASF500","22.38181818181818","0.400984439","interacts with","Helicobacter_ganmani (interacts with) Firmicutes_bacterium_ASF500","false","interacts with","Helicobacter_ganmani (interacts with) Firmicutes_bacterium_ASF500"
"Helicobacter_apodemus","13.179646073454123","0.493214683","interacts with","Helicobacter_ganmani (interacts with) Helicobacter_apodemus","false","interacts with","Helicobacter_ganmani (interacts with) Helicobacter_apodemus"
"Lachnospiraceae_bacterium_28_4","20.974351574351573","-0.692960825","interacts with","Helicobacter_ganmani (interacts with) Lachnospiraceae_bacterium_28_4","false","interacts with","Helicobacter_ganmani (interacts with) Lachnospiraceae_bacterium_28_4"
"Lachnospiraceae_bacterium_M18_1","11.625034692075362","-0.678451149","interacts with","Helicobacter_ganmani (interacts with) Lachnospiraceae_bacterium_M18_1","false","interacts with","Helicobacter_ganmani (interacts with) Lachnospiraceae_bacterium_M18_1"
"Mucispirillum_schaedleri","30.50770952473739","0.405561735","interacts with","Helicobacter_ganmani (interacts with) Mucispirillum_schaedleri","false","interacts with","Helicobacter_ganmani (interacts with) Mucispirillum_schaedleri"
"Streptococcus_acidominimus","28.29611720732264","-0.521567986","interacts with","Helicobacter_ganmani (interacts with) Streptococcus_acidominimus","false","interacts with","Helicobacter_ganmani (interacts with) Streptococcus_acidominimus"
"Actinomyces_urogenitalis","19.53229311108568","0.55061295","interacts with","Enterorhabdus_caecimuris (interacts with) Actinomyces_urogenitalis","false","interacts with","Enterorhabdus_caecimuris (interacts with) Actinomyces_urogenitalis"
"Adlercreutzia_equolifaciens","15.772826817593945","0.673981099","interacts with","Enterorhabdus_caecimuris (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Enterorhabdus_caecimuris (interacts with) Adlercreutzia_equolifaciens"
"Asaccharobacter_celatus","21.636389948649335","0.610393942","interacts with","Enterorhabdus_caecimuris (interacts with) Asaccharobacter_celatus","false","interacts with","Enterorhabdus_caecimuris (interacts with) Asaccharobacter_celatus"
"Bifidobacterium_animalis","36.91303258145365","0.479538584","interacts with","Enterorhabdus_caecimuris (interacts with) Bifidobacterium_animalis","false","interacts with","Enterorhabdus_caecimuris (interacts with) Bifidobacterium_animalis"
"Actinomyces_urogenitalis","24.957187600840847","0.467744563","interacts with","Asaccharobacter_celatus (interacts with) Actinomyces_urogenitalis","false","interacts with","Asaccharobacter_celatus (interacts with) Actinomyces_urogenitalis"
"Adlercreutzia_equolifaciens","3.2333333333333334","0.892277719","interacts with","Asaccharobacter_celatus (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Asaccharobacter_celatus (interacts with) Adlercreutzia_equolifaciens"
"Bifidobacterium_pseudolongum","36.39107538818079","0.415620693","interacts with","Asaccharobacter_celatus (interacts with) Bifidobacterium_pseudolongum","false","interacts with","Asaccharobacter_celatus (interacts with) Bifidobacterium_pseudolongum"
"Actinomyces_urogenitalis","17.82763431958478","0.463782733","interacts with","Adlercreutzia_equolifaciens (interacts with) Actinomyces_urogenitalis","false","interacts with","Adlercreutzia_equolifaciens (interacts with) Actinomyces_urogenitalis"
"Bifidobacterium_pseudolongum","41.3594570065624","0.412396264","interacts with","Adlercreutzia_equolifaciens (interacts with) Bifidobacterium_pseudolongum","false","interacts with","Adlercreutzia_equolifaciens (interacts with) Bifidobacterium_pseudolongum"
"Actinomyces_urogenitalis","93.49652184760545","0.446072847","interacts with","Corynebacterium_mastitidis (interacts with) Actinomyces_urogenitalis","false","interacts with","Corynebacterium_mastitidis (interacts with) Actinomyces_urogenitalis"
"Actinomyces_urogenitalis","11.417466843368171","0.427264685","interacts with","Lactobacillus_murinus (interacts with) Actinomyces_urogenitalis","false","interacts with","Lactobacillus_murinus (interacts with) Actinomyces_urogenitalis"
"Adlercreutzia_equolifaciens","20.050115960362636","0.44891826","interacts with","Lactobacillus_murinus (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Lactobacillus_murinus (interacts with) Adlercreutzia_equolifaciens"
"Asaccharobacter_celatus","29.31310251699246","0.434747625","interacts with","Lactobacillus_murinus (interacts with) Asaccharobacter_celatus","false","interacts with","Lactobacillus_murinus (interacts with) Asaccharobacter_celatus"
"Enterorhabdus_caecimuris","9.0042157364738","0.549276974","interacts with","Lactobacillus_murinus (interacts with) Enterorhabdus_caecimuris","false","interacts with","Lactobacillus_murinus (interacts with) Enterorhabdus_caecimuris"
"Actinomyces_urogenitalis","96.76754631861995","0.40113296","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Actinomyces_urogenitalis","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Actinomyces_urogenitalis"
"Alistipes_indistinctus","33.972297817421655","-0.409204996","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Alistipes_indistinctus","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Alistipes_indistinctus"
"Bacteroides_faecichinchillae","34.01981433042907","-0.480763724","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Bacteroides_faecichinchillae","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Bacteroides_faecichinchillae"
"Bacteroides_sartorii","34.60277385456507","-0.409204996","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Bacteroides_sartorii","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Bacteroides_sartorii"
"Bacteroides_thetaiotaomicron","25.08355600367984","-0.741284941","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Bacteroides_thetaiotaomicron"
"Butyricimonas_virosa","28.01430858443242","-0.409291666","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Butyricimonas_virosa","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Butyricimonas_virosa"
"Lactobacillus_intestinalis","32.824518776309986","-0.480763724","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Lactobacillus_intestinalis","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Lactobacillus_intestinalis"
"Lactobacillus_reuteri","44.95215360646583","-0.54650581","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Lactobacillus_reuteri","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Lactobacillus_reuteri"
"Muribaculum_intestinale","35.037938689729906","-0.409204996","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Muribaculum_intestinale","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Muribaculum_intestinale"
"Streptococcus_acidominimus","87.74155825439657","0.51072608","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Streptococcus_acidominimus","false","interacts with","Lachnospiraceae_bacterium_28_4 (interacts with) Streptococcus_acidominimus"
"Adlercreutzia_equolifaciens","16.67227202483901","-0.647900856","interacts with","Helicobacter_typhlonius (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Helicobacter_typhlonius (interacts with) Adlercreutzia_equolifaciens"
"Alistipes_timonensis","15.969223702160884","-0.524134705","interacts with","Helicobacter_typhlonius (interacts with) Alistipes_timonensis","false","interacts with","Helicobacter_typhlonius (interacts with) Alistipes_timonensis"
"Asaccharobacter_celatus","14.325843453410442","-0.580046672","interacts with","Helicobacter_typhlonius (interacts with) Asaccharobacter_celatus","false","interacts with","Helicobacter_typhlonius (interacts with) Asaccharobacter_celatus"
"Bacteroides_caecimuris","22.859023604982685","-0.421134594","interacts with","Helicobacter_typhlonius (interacts with) Bacteroides_caecimuris","false","interacts with","Helicobacter_typhlonius (interacts with) Bacteroides_caecimuris"
"Bifidobacterium_pseudolongum","13.666727745938273","-0.520142495","interacts with","Helicobacter_typhlonius (interacts with) Bifidobacterium_pseudolongum","false","interacts with","Helicobacter_typhlonius (interacts with) Bifidobacterium_pseudolongum"
"Clostridium_cocleatum","15.885968272109112","-0.500333704","interacts with","Helicobacter_typhlonius (interacts with) Clostridium_cocleatum","false","interacts with","Helicobacter_typhlonius (interacts with) Clostridium_cocleatum"
"Enterorhabdus_caecimuris","51.97076018560341","-0.438042269","interacts with","Helicobacter_typhlonius (interacts with) Enterorhabdus_caecimuris","false","interacts with","Helicobacter_typhlonius (interacts with) Enterorhabdus_caecimuris"
"Faecalibaculum_rodentium","23.4896513588464","-0.605339266","interacts with","Helicobacter_typhlonius (interacts with) Faecalibaculum_rodentium","false","interacts with","Helicobacter_typhlonius (interacts with) Faecalibaculum_rodentium"
"Helicobacter_apodemus","16.187363522146132","0.58131257","interacts with","Helicobacter_typhlonius (interacts with) Helicobacter_apodemus","false","interacts with","Helicobacter_typhlonius (interacts with) Helicobacter_apodemus"
"Helicobacter_hepaticus","18.032107950529003","0.537263626","interacts with","Helicobacter_typhlonius (interacts with) Helicobacter_hepaticus","false","interacts with","Helicobacter_typhlonius (interacts with) Helicobacter_hepaticus"
"Lactobacillus_taiwanensis","35.26497130044182","-0.463042206","interacts with","Helicobacter_typhlonius (interacts with) Lactobacillus_taiwanensis","false","interacts with","Helicobacter_typhlonius (interacts with) Lactobacillus_taiwanensis"
"Mucispirillum_schaedleri","15.451317963082667","0.772636263","interacts with","Helicobacter_typhlonius (interacts with) Mucispirillum_schaedleri","false","interacts with","Helicobacter_typhlonius (interacts with) Mucispirillum_schaedleri"
"Adlercreutzia_equolifaciens","23.419056565496188","-0.453989418","interacts with","Helicobacter_apodemus (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Helicobacter_apodemus (interacts with) Adlercreutzia_equolifaciens"
"Anaerotruncus_sp_G3_2012","32.26454427925016","0.475862069","interacts with","Helicobacter_apodemus (interacts with) Anaerotruncus_sp_G3_2012","false","interacts with","Helicobacter_apodemus (interacts with) Anaerotruncus_sp_G3_2012"
"Asaccharobacter_celatus","19.323024819464447","-0.483257275","interacts with","Helicobacter_apodemus (interacts with) Asaccharobacter_celatus","false","interacts with","Helicobacter_apodemus (interacts with) Asaccharobacter_celatus"
"Clostridium_cocleatum","19.576882376882377","-0.440266963","interacts with","Helicobacter_apodemus (interacts with) Clostridium_cocleatum","false","interacts with","Helicobacter_apodemus (interacts with) Clostridium_cocleatum"
"Firmicutes_bacterium_ASF500","40.12378917378916","0.442481141","interacts with","Helicobacter_apodemus (interacts with) Firmicutes_bacterium_ASF500","false","interacts with","Helicobacter_apodemus (interacts with) Firmicutes_bacterium_ASF500"
"Lachnospiraceae_bacterium_M18_1","13.658930637521296","-0.450877383","interacts with","Helicobacter_apodemus (interacts with) Lachnospiraceae_bacterium_M18_1","false","interacts with","Helicobacter_apodemus (interacts with) Lachnospiraceae_bacterium_M18_1"
"Mucispirillum_schaedleri","13.993650793650792","0.697886541","interacts with","Helicobacter_apodemus (interacts with) Mucispirillum_schaedleri","false","interacts with","Helicobacter_apodemus (interacts with) Mucispirillum_schaedleri"
"Adlercreutzia_equolifaciens","78.32737673941487","0.440466329","interacts with","Faecalibaculum_rodentium (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Faecalibaculum_rodentium (interacts with) Adlercreutzia_equolifaciens"
"Alistipes_timonensis","15.570933933073151","0.503088715","interacts with","Faecalibaculum_rodentium (interacts with) Alistipes_timonensis","false","interacts with","Faecalibaculum_rodentium (interacts with) Alistipes_timonensis"
"Asaccharobacter_celatus","70.27242890946705","0.470382676","interacts with","Faecalibaculum_rodentium (interacts with) Asaccharobacter_celatus","false","interacts with","Faecalibaculum_rodentium (interacts with) Asaccharobacter_celatus"
"Bacteroides_caecimuris","28.70831484135832","0.435817575","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_caecimuris","false","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_caecimuris"
"Bacteroides_faecichinchillae","16.085701737960882","0.522486161","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_faecichinchillae","false","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_faecichinchillae"
"Bacteroides_massiliensis","41.758118451596715","0.504850662","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_massiliensis","false","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_massiliensis"
"Bacteroides_sartorii","21.510636947678698","0.42677482","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_sartorii","false","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_sartorii"
"Bacteroides_stercorirosoris","26.244264009739215","-0.402595032","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_stercorirosoris","false","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_stercorirosoris"
"Bacteroides_vulgatus","21.613970253155966","-0.419354839","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_vulgatus","false","interacts with","Faecalibaculum_rodentium (interacts with) Bacteroides_vulgatus"
"Bifidobacterium_pseudolongum","7.468434898434898","0.66703768","interacts with","Faecalibaculum_rodentium (interacts with) Bifidobacterium_pseudolongum","false","interacts with","Faecalibaculum_rodentium (interacts with) Bifidobacterium_pseudolongum"
"Clostridium_cocleatum","15.062776162074897","0.450500556","interacts with","Faecalibaculum_rodentium (interacts with) Clostridium_cocleatum","false","interacts with","Faecalibaculum_rodentium (interacts with) Clostridium_cocleatum"
"Lachnospiraceae_bacterium_10_1","33.5432937523751","0.485300969","interacts with","Faecalibaculum_rodentium (interacts with) Lachnospiraceae_bacterium_10_1","false","interacts with","Faecalibaculum_rodentium (interacts with) Lachnospiraceae_bacterium_10_1"
"Lactobacillus_intestinalis","14.71415106641021","0.554482792","interacts with","Faecalibaculum_rodentium (interacts with) Lactobacillus_intestinalis","false","interacts with","Faecalibaculum_rodentium (interacts with) Lactobacillus_intestinalis"
"Lactobacillus_reuteri","24.55067479556176","0.656597323","interacts with","Faecalibaculum_rodentium (interacts with) Lactobacillus_reuteri","false","interacts with","Faecalibaculum_rodentium (interacts with) Lactobacillus_reuteri"
"Lactobacillus_taiwanensis","10.133638932873732","0.734523138","interacts with","Faecalibaculum_rodentium (interacts with) Lactobacillus_taiwanensis","false","interacts with","Faecalibaculum_rodentium (interacts with) Lactobacillus_taiwanensis"
"Mucispirillum_schaedleri","30.013206687695174","-0.448275862","interacts with","Faecalibaculum_rodentium (interacts with) Mucispirillum_schaedleri","false","interacts with","Faecalibaculum_rodentium (interacts with) Mucispirillum_schaedleri"
"Muribaculaceae_bacterium_DSM_103720","48.25519234011244","-0.455921288","interacts with","Faecalibaculum_rodentium (interacts with) Muribaculaceae_bacterium_DSM_103720","false","interacts with","Faecalibaculum_rodentium (interacts with) Muribaculaceae_bacterium_DSM_103720"
"Muribaculum_intestinale","17.69519128223304","0.43104684","interacts with","Faecalibaculum_rodentium (interacts with) Muribaculum_intestinale","false","interacts with","Faecalibaculum_rodentium (interacts with) Muribaculum_intestinale"
"Parabacteroides_distasonis","16.858535909128943","-0.606229143","interacts with","Faecalibaculum_rodentium (interacts with) Parabacteroides_distasonis","false","interacts with","Faecalibaculum_rodentium (interacts with) Parabacteroides_distasonis"
"Parabacteroides_goldsteinii","20.541054665800978","-0.410056739","interacts with","Faecalibaculum_rodentium (interacts with) Parabacteroides_goldsteinii","false","interacts with","Faecalibaculum_rodentium (interacts with) Parabacteroides_goldsteinii"
"Adlercreutzia_equolifaciens","48.436271979608904","0.437282975","interacts with","Proteus_hauseri (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Proteus_hauseri (interacts with) Adlercreutzia_equolifaciens"
"Asaccharobacter_celatus","70.06720617278566","0.405717925","interacts with","Proteus_hauseri (interacts with) Asaccharobacter_celatus","false","interacts with","Proteus_hauseri (interacts with) Asaccharobacter_celatus"
"Corynebacterium_mastitidis","17.308240057156468","0.514973388","interacts with","Proteus_hauseri (interacts with) Corynebacterium_mastitidis","false","interacts with","Proteus_hauseri (interacts with) Corynebacterium_mastitidis"
"Alistipes_indistinctus","13.853565729524805","0.503727218","interacts with","Parabacteroides_goldsteinii (interacts with) Alistipes_indistinctus","false","interacts with","Parabacteroides_goldsteinii (interacts with) Alistipes_indistinctus"
"Bacteroides_intestinalis","6.497624955689472","0.682804012","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_intestinalis","false","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_intestinalis"
"Bacteroides_stercorirosoris","10.787835204011675","0.400583789","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_stercorirosoris","false","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_stercorirosoris"
"Bacteroides_vulgatus","11.582113409466354","0.608966518","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_vulgatus","false","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_vulgatus"
"Bifidobacterium_pseudolongum","20.63445974324697","-0.41780748","interacts with","Parabacteroides_goldsteinii (interacts with) Bifidobacterium_pseudolongum","false","interacts with","Parabacteroides_goldsteinii (interacts with) Bifidobacterium_pseudolongum"
"Muribaculaceae_bacterium_DSM_103720","14.495107517957361","0.639882332","interacts with","Parabacteroides_goldsteinii (interacts with) Muribaculaceae_bacterium_DSM_103720","false","interacts with","Parabacteroides_goldsteinii (interacts with) Muribaculaceae_bacterium_DSM_103720"
"Parabacteroides_distasonis","7.839576883384934","0.610746472","interacts with","Parabacteroides_goldsteinii (interacts with) Parabacteroides_distasonis","false","interacts with","Parabacteroides_goldsteinii (interacts with) Parabacteroides_distasonis"
"Bacteroides_intestinalis","11.98897117375378","0.6656645","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_intestinalis","false","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_intestinalis"
"Bacteroides_massiliensis","22.48844657757701","-0.426938002","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_massiliensis","false","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_massiliensis"
"Bacteroides_thetaiotaomicron","25.708640393423","0.535512343","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_thetaiotaomicron"
"Muribaculaceae_bacterium_DSM_103720","18.012770562770562","0.561558518","interacts with","Alistipes_indistinctus (interacts with) Muribaculaceae_bacterium_DSM_103720","false","interacts with","Alistipes_indistinctus (interacts with) Muribaculaceae_bacterium_DSM_103720"
"Alistipes_indistinctus","19.466035629765607","0.484874294","interacts with","Parabacteroides_distasonis (interacts with) Alistipes_indistinctus","false","interacts with","Parabacteroides_distasonis (interacts with) Alistipes_indistinctus"
"Bacteroides_faecichinchillae","14.886016135690813","-0.562387842","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_faecichinchillae","false","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_faecichinchillae"
"Bacteroides_intestinalis","11.57539160629643","0.718450537","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_intestinalis","false","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_intestinalis"
"Bacteroides_sartorii","14.10666484182339","-0.441299688","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_sartorii","false","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_sartorii"
"Bacteroides_stercorirosoris","15.691952970079235","0.530740174","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_stercorirosoris","false","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_stercorirosoris"
"Bacteroides_thetaiotaomicron","36.71692477080756","0.410837655","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_thetaiotaomicron"
"Bacteroides_vulgatus","7.679836128783498","0.797552836","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_vulgatus","false","interacts with","Parabacteroides_distasonis (interacts with) Bacteroides_vulgatus"
"Bifidobacterium_pseudolongum","22.13056081658863","-0.492544006","interacts with","Parabacteroides_distasonis (interacts with) Bifidobacterium_pseudolongum","false","interacts with","Parabacteroides_distasonis (interacts with) Bifidobacterium_pseudolongum"
"Butyricimonas_virosa","19.938053467000827","0.572353708","interacts with","Parabacteroides_distasonis (interacts with) Butyricimonas_virosa","false","interacts with","Parabacteroides_distasonis (interacts with) Butyricimonas_virosa"
"Muribaculaceae_bacterium_DSM_103720","18.155445557433136","0.676395936","interacts with","Parabacteroides_distasonis (interacts with) Muribaculaceae_bacterium_DSM_103720","false","interacts with","Parabacteroides_distasonis (interacts with) Muribaculaceae_bacterium_DSM_103720"
"Muribaculum_intestinale","13.789998175156722","-0.441299688","interacts with","Parabacteroides_distasonis (interacts with) Muribaculum_intestinale","false","interacts with","Parabacteroides_distasonis (interacts with) Muribaculum_intestinale"
"Alistipes_indistinctus","8.233333333333333","-0.481675049","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Alistipes_indistinctus","false","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Alistipes_indistinctus"
"Bacteroides_intestinalis","14.096172346172347","-0.592311907","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Bacteroides_intestinalis","false","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Bacteroides_intestinalis"
"Bacteroides_stercorirosoris","22.40813908313908","-0.506513346","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Bacteroides_stercorirosoris","false","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Bacteroides_stercorirosoris"
"Lachnospiraceae_bacterium_10_1","11.588528138528137","0.652009335","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Lachnospiraceae_bacterium_10_1","false","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Lachnospiraceae_bacterium_10_1"
"Lachnospiraceae_bacterium_28_4","62.47715144332791","0.401155554","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Lachnospiraceae_bacterium_28_4","false","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Lachnospiraceae_bacterium_28_4"
"Muribaculaceae_bacterium_DSM_103720","19.46906981906982","-0.643054473","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Muribaculaceae_bacterium_DSM_103720","false","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Muribaculaceae_bacterium_DSM_103720"
"Parabacteroides_goldsteinii","15.011751102927573","-0.441521785","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Parabacteroides_goldsteinii","false","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Parabacteroides_goldsteinii"
"Alistipes_indistinctus","14.305952380952379","-0.45847083","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Alistipes_indistinctus","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Alistipes_indistinctus"
"Bacteroides_intestinalis","13.94569892473118","-0.504391242","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Bacteroides_intestinalis","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Bacteroides_intestinalis"
"Bifidobacterium_pseudolongum","26.053646732728073","0.403743406","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Bifidobacterium_pseudolongum","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Bifidobacterium_pseudolongum"
"Muribaculaceae_bacterium_DSM_103720","22.440556110556106","-0.509614893","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Muribaculaceae_bacterium_DSM_103720","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Muribaculaceae_bacterium_DSM_103720"
"Parabacteroides_goldsteinii","9.064285714285713","-0.437019932","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Parabacteroides_goldsteinii","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Parabacteroides_goldsteinii"
